,nombre,company,cargo,más info,speaker_bio,url_linkedin,url_TW
29,Fernando Gil Guerrero Gómez,Nouss Intelligence,CEO,https://www.des-madrid.com/agenda-2021-speakers/fernando-gil-guerrero-gomez/,"Civil Engineer and Surveyor by education, who became an IT Consultant, Author, Trainer and Communicator by choice; enjoying a new career in high management and corporate governance, as CEO and President of Nouss Intelligence, a startup specialized in Artificial Intelligence, while serving as CEO and President of Lucient Data SA, the company he co-founded in 2002, as Solid Quality Learning, to become the leader in advanced services and education for the Microsoft Data Platform.",https://www.linkedin.com/in/fernansql/,https://twitter.com/@FernanSQL
30,Fernando Moroy Hueto,GDSFIN,CEO,https://www.des-madrid.com/agenda-2021-speakers/fernando-moroy-hueto/,"Mentor, Investor and Member of several Advisory Boards.",https://linkedin.com/in/fernandomoroy,https://twitter.com/@fernandomoroy
31,Fernando Pareja Cuema,T-Systems,"Head of Sales, Services & Logistics Business Unit",https://www.des-madrid.com/agenda-2021-speakers/fernando-pareja-cuema/,"Con una dilatada carrera profesional desarrollada en diferentes compañías multinacionales, se unió a T-Systems en 2012 donde actualmente lidera el desarrollo de negocio para industrias clave en Iberia como Retail o CPG. Con una orientación muy cercana al cliente, coordina un grupo de profesionales que impulsa la posición de T-Systems en el mercado como socio tecnológico de confianza que acompañe, desde una visión global, a las compañías en sus procesos de transformación digital.",https://www.linkedin.com/in/fernando-pareja-cuena-0a98b51/,TW no disponible
32,Fernando Rivero Duque,Ditrendia,CEO,https://www.des-madrid.com/agenda-2021-speakers/fernando-rivero-duque/,"With +20 years of experience as a marketing and digital consultant, working in the analysis, design, development and implementation of channel optimization strategies, digital marketing & social media strategies, Internet as a sales channel, market research, marketing plans, customer loyalty plans, etc.",https://www.linkedin.com/in/fernandorivero,https://twitter.com/@Fernando_Rivero
33,Fernando Rodríguez Ferrer,Bizum,Director de Negocio,https://www.des-madrid.com/agenda-2021-speakers/fernando-rodriguez-ferrer/,"Strategy, business development and innovation at Bizum. Building the future payments landscape: digital ecosystem embracing the new normal of paying based on Account-to-Account instant payments. Fostering disruptive ideas and collaboration among fintech players: reach, explore, connect, and try out.",https://www.linkedin.com/in/frodriguezferrer/,TW no disponible
34,Fernando Suarez,Presidente del CCII,Presidente de la Comisión Ética y Deontológica del CCII,https://www.des-madrid.com/agenda-2021-speakers/fernando-suarez/,"Presidente del Colexio Profesional de Enxeñaría en Informática de Galicia desde su constitución en 2007 y del Consejo General de Colegios desde 2019. Desarrolla su actividad profesional en la Deputación de Ourense, como Director del Área de Transparencia y Gobierno Abierto.",https://www.linkedin.com/in/fsuarezl/,https://twitter.com/@fsuarezl
35,Florence Dambricourt,Talking4good,Mindset Strategist & Culture Transformation,https://www.des-madrid.com/agenda-2021-speakers/florence-dambricourt/,"Ex-offshore scientist, ex-flutist in an orchestra, currently helping the emergence of mindset and company culture where humans are more than numbers. With two books published on self-leadership, ‘Swim Like a Fish’ and ‘Speak Like a Fish’, Florence believes in people and their innate capability to change. She champions the development of positive working environment and strong teams, a must-do when you want to manage complexity, leverage from digital opportunities, inspire people, and much more.",https://www.linkedin.com/in/selfleadership-and-teamcoaching/,https://twitter.com/@talking4good
36,Fran Espada Moreno,Hovering Solutions,CEO & Founder,https://www.des-madrid.com/agenda-2021-speakers/fran-espada-moreno/,"Having studied electrical engineering and figuring out significant lacks in different industrial processes related to the condition monitoring, Fran decided to found Hovering Solutions in 2016. He has developed the technology of the autonomous flying robots, which has demonstrated tremendous potential but there are still significant challenges to make the data handling and processing more efficient to get the most out of the acquired data.",https://www.linkedin.com/in/fran-espada/,TW no disponible
37,Francesc Boya Alòs,Ministerio para la Transición Ecológica y el Reto Demográfico,Secretario General para el Reto Demográfico,https://www.des-madrid.com/agenda-2021-speakers/francesc-boya-alos/,Secretario General para el Reto Demográfico. Asume el cargo tras una amplia trayectoria trabajando por mejores oportunidades para el mundo rural.,no disponible,no disponible
38,Francisco Benedito Valentin,Climatetrade,CEO,https://www.des-madrid.com/agenda-2021-speakers/francisco-benedito-valentin/,Co-Founder and Chief Executive Officer.,https://www.linkedin.com/in/francisco-benedito-90bb1421/,https://twitter.com/@ceoclimatetrade
39,Francisco Gomez-Donoso,AdaptAI,Co-founder,https://www.des-madrid.com/agenda-2021-speakers/francisco-gomez-donoso/,"Francisco Gomez-Donoso is an expert in artificial intelligence. He achieved his PhD in this matter in Septembre 2021. By November of the same year, he and his mates started AdaptAI as a spinoff of the University of Alicante. In AdaptAI we apply artificial intelligence to create devices that enhance the quality of life of the elder and the challenged.",https://www.linkedin.com/in/francisco-g%C3%B3mez-donoso-342a4465/,https://twitter.com/@XitoVicious
40,Francisco Javier López Martínez,Banco Santander,Director de Impacto Social Santander Universidades,https://www.des-madrid.com/agenda-2021-speakers/francisco-javier-lopez-martinez/,,no disponible,no disponible
41,Francisco Pérez,KPMG Advisory,Partner,https://www.des-madrid.com/agenda-2021-speakers/francisco-perez/,,no disponible,no disponible
42,Francisco Polo,España Nación Emprendedora,Alto Comisionado,https://www.des-madrid.com/agenda-2021-speakers/francisco-polo/,"Francisco Polo es Alto Comisionado para España Nación Emprendedora, órgano de Presidencia del Gobierno encargado de impulsar la Estrategia Nación Emprendedora. La Estrategia articula una visión a largo plazo para transformar las bases productivas del país, generando un nuevo modelo económico basado en el emprendimiento innovador, en los sectores tractores del país y en políticas inclusivas para no dejar a nadie atrás. ",https://www.linkedin.com/in/franciscopolo/,https://twitter.com/@franciscopolo
43,Francisco Valencia Arribas,Secure&amp;IT,Director General,https://www.des-madrid.com/agenda-2021-speakers/francisco-valencia-arribas/,"Ingeniero experto en Ciberseguridad. Director General en Secure&IT y Vicepresidente en PETEC. Certificaciones como C|CISO, CISA, CompTIA Security+, ISMS-CCSP o Auditor líder. Además, es Perito Judicial Informático y es MBA en Administración y Dirección de Empresas. También ha desarrollado su faceta pedagógica como profesor de Seguridad Informática, Telecomunicaciones y Procesos de Gestión. ",https://www.linkedin.com/in/franciscovalencia/,https://twitter.com/@secure_and_it
44,Francisco Verdugo,VMware,Senior Partner Solution Engineer,https://www.des-madrid.com/agenda-2021-speakers/francisco-verdugo/,,no disponible,no disponible
45,Gianluca D'Antonio,ISMS Forum,President,https://www.des-madrid.com/agenda-2021-speakers/gianluca-dantonio/,He developed all his career in Digital Risk Management and related practices.,https://www.linkedin.com/in/dantoniogianluca/,https://twitter.com/@infosecadvocate
46,Gonçalo Caeiro,DocDigitizer,CAIO,https://www.des-madrid.com/agenda-2021-speakers/goncalo-caeiro/,"Co-Founder and CAIO of DocDigitizer. He co-founded Joyn Group in 2014 and led global expansion, group’s coordination and innovation initiatives.",https://www.linkedin.com/in/goncalocaeiro/,https://twitter.com/@gcaeiro2
47,Gonzalo Velasco,Ferrovial Airports,Business Plan and Innovation Director,https://www.des-madrid.com/agenda-2021-speakers/gonzalo-velasco/,,no disponible,no disponible
48,Gregorio López Martos,Mox,CEO,https://www.des-madrid.com/agenda-2021-speakers/gregorio-lopez-martos/,,no disponible,no disponible
49,Guille Soldevila Elias,Brand Your Shoes,CEO and Creative Director,https://www.des-madrid.com/agenda-2021-speakers/guille-soldevila-elias/,"A graduate in Art History and a graduate in Graphic Design, Guillem Soldevila is a creative entrepreneur in series who after creating several companies in different sectors after many years returns to the family business with a totally innovative corporate footwear project that allows create custom shoes for your company on your smartphone. A Brandig and fashion project in customization that is a trend.",https://www.linkedin.com/company/10490968/admin/,https://twitter.com/@BRANDYOURSHOES
50,Guillermo Alonso,KPMG en España,Director de IT Advisory,https://www.des-madrid.com/agenda-2021-speakers/guillermo-alonso/,,no disponible,no disponible
